UF_ATENDIMENTO;TIPO;CLASSIFICACAO;NACIONALIDADE;TOTAL
AM;SAIDA;VISITANTE;CANADÁ;53
AM;SAIDA;VISITANTE;CAZAQUISTÃO;1
AM;SAIDA;VISITANTE;CHILE;9
AM;SAIDA;VISITANTE;CHINA;32
AM;SAIDA;VISITANTE;CHIPRE;1
AM;SAIDA;VISITANTE;COLÔMBIA;794
AM;SAIDA;VISITANTE;CORÉIA DO SUL;5
AM;SAIDA;VISITANTE;COSTA RICA;16
AM;SAIDA;VISITANTE;CROÁCIA;6
AM;SAIDA;VISITANTE;CUBA;15
AM;SAIDA;VISITANTE;DINAMARCA;20
AM;SAIDA;VISITANTE;EL SALVADOR;1
AM;SAIDA;VISITANTE;EQUADOR;17
AM;SAIDA;VISITANTE;ESLOVÊNIA;2
AM;SAIDA;VISITANTE;ESPANHA;47
AM;SAIDA;VISITANTE;ESTADOS UNIDOS;1002
AM;SAIDA;VISITANTE;ESTÔNIA;2
AM;SAIDA;VISITANTE;FINLÂNDIA;9
AM;SAIDA;VISITANTE;FRANÇA;68
AM;SAIDA;VISITANTE;GRÉCIA;1
AM;SAIDA;VISITANTE;GUATEMALA;2
